slug,provider,actionButtons,toolType,tag,price,planType,planName,description,starred
alchemy-gas-manager-free,Alchemy Gas Manager,"[""[Website](https://www.alchemy.com/dapps/gas-manager)"",""[Docs](https://www.alchemy.com/docs/wallets/resources/terms#gas-manager)""]",Tool,"[""Gas sponsorship"",""Gasless transactions"",""Paymaster"",""Transaction fee management""]",$0,Free,,"It is an ERC-4337 compliant paymaster, allowing developers to sponsor the gas fees for their users on a blockchain",FALSE
alchemy-gas-manager-pay-as-you-go,Alchemy Gas Manager,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/wallets/resources/terms#gas-manager)""]",Tool,"[""Gas sponsorship"",""Gasless transactions"",""Paymaster"",""Transaction fee management""]",$5/$45/$215/$415/$815/$2K per 11M/100M/500M/1B/2B/5B CUs,Pay-as-you-go,,"It is an ERC-4337 compliant paymaster, allowing developers to sponsor the gas fees for their users on a blockchain",FALSE
alchemy-gas-manager-enterprise,Alchemy Gas Manager,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/wallets/resources/terms#gas-manager)""]",Tool,"[""Gas sponsorship"",""Gasless transactions"",""Paymaster"",""Transaction fee management""]",Custom,Enterprise,,"It is an ERC-4337 compliant paymaster, allowing developers to sponsor the gas fees for their users on a blockchain",FALSE
alchemy-sdk-free,Alchemy SDK,"[""[Docs](https://www.alchemy.com/docs)""]",SDK,"[""Web3 development"",""Blockchain developer tools"",""Ethereum development"",""dApp development""]",$0,Free,,"It is a powerful JavaScript/TypeScript library that serves as the core of Alchemy's comprehensive web3 development platform, allowing developers to easily connect their decentralized applications to various blockchains and leverage enhanced developer tools and infrastructure",FALSE
alchemy-sdk-pay-as-you-go,Alchemy SDK,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs)""]",SDK,"[""Web3 development"",""Blockchain developer tools"",""Ethereum development"",""dApp development""]",$5/$45/$215/$415/$815/$2K per 11M/100M/500M/1B/2B/5B CUs,Pay-as-you-go,,"It is a powerful JavaScript/TypeScript library that serves as the core of Alchemy's comprehensive web3 development platform, allowing developers to easily connect their decentralized applications to various blockchains and leverage enhanced developer tools and infrastructure",FALSE
alchemy-sdk-enterprise,Alchemy SDK,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs)""]",SDK,"[""Web3 development"",""Blockchain developer tools"",""Ethereum development"",""dApp development""]",Custom,Enterprise,,"It is a powerful JavaScript/TypeScript library that serves as the core of Alchemy's comprehensive web3 development platform, allowing developers to easily connect their decentralized applications to various blockchains and leverage enhanced developer tools and infrastructure",FALSE
alchemy-smart-wallet-free,Alchemy Smart Wallet,"[""[Website](https://www.alchemy.com/smart-wallets-infrastructure)"",""[Docs](https://www.alchemy.com/docs/wallets)""]",Tool,"[""Account Abstraction"",""Smart Contract Wallets"",""Wallet Developer Tools"",""Embedded Wallets""]",$0,Free,,"Provides the infrastructure to build secure, user-friendly web3 applications, streamlining the onboarding process for end-users",FALSE
alchemy-smart-wallet-pay-as-you-go,Alchemy Smart Wallet,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/wallets)""]",Tool,"[""Account Abstraction"",""Smart Contract Wallets"",""Wallet Developer Tools"",""Embedded Wallets""]",$5/$45/$215/$415/$815/$2K per 11M/100M/500M/1B/2B/5B CUs,Pay-as-you-go,,"Provides the infrastructure to build secure, user-friendly web3 applications, streamlining the onboarding process for end-users",FALSE
alchemy-smart-wallet-enterprise,Alchemy Smart Wallet,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/wallets)""]",Tool,"[""Account Abstraction"",""Smart Contract Wallets"",""Wallet Developer Tools"",""Embedded Wallets""]",Custom,Enterprise,,"Provides the infrastructure to build secure, user-friendly web3 applications, streamlining the onboarding process for end-users",FALSE
alchemy-transaction-free,Alchemy Transaction,"[""[Docs](https://www.alchemy.com/docs/wallets/transactions/overview)""]",Tool,"[""Blockchain transactions"",""Faster Ethereum transactions"",""Reliable transaction API""]",$0,Free,,"It provides developers with APIs and features to manage the entire transaction lifecycle, from creation and simulation to sending and monitoring, across various blockchain networks",FALSE
alchemy-transaction-pay-as-you-go,Alchemy Transaction,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/wallets/transactions/overview)""]",Tool,"[""Blockchain transactions"",""Faster Ethereum transactions"",""Reliable transaction API""]",$5/$45/$215/$415/$815/$2K per 11M/100M/500M/1B/2B/5B CUs,Pay-as-you-go,,"It provides developers with APIs and features to manage the entire transaction lifecycle, from creation and simulation to sending and monitoring, across various blockchain networks",FALSE
alchemy-transaction-enterprise,Alchemy Transaction,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/wallets/transactions/overview)""]",Tool,"[""Blockchain transactions"",""Faster Ethereum transactions"",""Reliable transaction API""]",Custom,Enterprise,,"It provides developers with APIs and features to manage the entire transaction lifecycle, from creation and simulation to sending and monitoring, across various blockchain networks",FALSE
anyalt,AnyAlt,"[""[Website](https://www.anyalt.finance/)"",""[Docs](https://docs.anyalt.finance/sdk/overview)""]",SDK,"[""Cross-chain functionality"",""SDKs"",""APIs""]",$0,Free,,"Provides developers with an SDK and a pre-built widget to integrate cross-chain and last-mile transactions, including fiat-to-crypto on-ramps, into blockchain protocols and web3 projects",FALSE
apeworx,ApeWorx,"[""[Docs](https://docs.apeworx.io/)""]",Development platform,"[""Web3"",""CLI"",""Smart Contracts""]",Custom,TBD,,"It provides a suite of Python-based, modular tools for Web3 developers to build, test, and deploy smart contracts and automated applications across various blockchain networks",FALSE
ape-worx-evm-trace,ApeWorx EVM Trace,"[""[Website](https://github.com/ApeWorX/evm-trace)""]",Testing and Debugging,"[""EVM Trace"",""Ethereum Debugging"",""Smart Contract Debugging"",""Transaction Tracing""]",$0,Free,,Python-dependent developer tool designed for debugging and analyzing Ethereum Virtual Machine transactions and smart contract execution,FALSE
apillon-free,Apillon,"[""[Website](https://apillon.io/)"",""[Docs](https://wiki.apillon.io/build/1-apillon-api.html)""]",Development platform,"[""dApp development"",""Blockchain APIs"",""Web3 APIs""]",$0,Free,Egg,"It provides developers with APIs, SDKs, and a dashboard to simplify creating decentralized applications by abstracting blockchain complexities and offering access to Polkadot parachain-powered services",FALSE
apillon-pay-as-you-go,Apillon,"[""[Buy](https://apillon.io/pricing)"",""[Docs](https://wiki.apillon.io/build/1-apillon-api.html)""]",Development platform,"[""dApp development"",""Blockchain APIs"",""Web3 APIs""]",$19.90/mo,Tiered,Caterpillar,"It provides developers with APIs, SDKs, and a dashboard to simplify creating decentralized applications by abstracting blockchain complexities and offering access to Polkadot parachain-powered services",FALSE
apillon-enterprise,Apillon,"[""[Buy](https://apillon.io/pricing)"",""[Docs](https://wiki.apillon.io/build/1-apillon-api.html)""]",Development platform,"[""dApp development"",""Blockchain APIs"",""Web3 APIs""]",$79.9/mo,Enterprise,Cocoon,"It provides developers with APIs, SDKs, and a dashboard to simplify creating decentralized applications by abstracting blockchain complexities and offering access to Polkadot parachain-powered services",FALSE
arka-free,Arka,"[""[Website](https://etherspot.io/arka-paymaster/)"",""[Docs](https://etherspot.fyi/arka/intro)""]",Tool,"[""ERC-4337"",""Paymaster"",""Gasless transactions""]",$0,Free,,"Provides gasless transactions, sponsored transactions, and alternative gas payments using ERC-20 tokens, adhering to the ERC-4337 standard to improve dApp user experience",FALSE
arka-pay-as-you-go,Arka,"[""[Buy](https://etherspot.io/pricing/)"",""[Docs](https://etherspot.fyi/arka/intro)""]",Tool,"[""ERC-4337"",""Paymaster"",""Gasless transactions""]",$49/$99/$299/mo,Dedicated,Developer/Scale/Startup,"Provides gasless transactions, sponsored transactions, and alternative gas payments using ERC-20 tokens, adhering to the ERC-4337 standard to improve dApp user experience",FALSE
arka-enterprise,Arka,"[""[Contact](https://etherspot.io/get-quote/)"",""[Docs](https://etherspot.fyi/arka/intro)""]",Tool,"[""ERC-4337"",""Paymaster"",""Gasless transactions""]",Custom,Enterprise,,"Provides gasless transactions, sponsored transactions, and alternative gas payments using ERC-20 tokens, adhering to the ERC-4337 standard to improve dApp user experience",FALSE
assembly-script,AssemblyScript,"[""[Website](https://www.assemblyscript.org/introduction.html)""]",SDK,"[""WebAssembly"",""TypeScript"",""JavaScript""]",$0,Free,,It offers a compiler and toolchain allowing developers to write high-performance code in a TypeScript-like language and compile it to WebAssembly,FALSE
aztec-sdk-free,Aztec,"[""[Docs](https://docs.aztec.network/developers/docs/aztec-js)""]",SDK,"[""Zero-Knowledge Proofs"",""Privacy-first /Confidential transactions"",""Ethereum Layer 2""]",$0 ,TBD,,"It provides SDK, documentation, testnet access and especially Noir, a Rust-like programming language for writing zero-knowledge smart contracts",FALSE
biconomy,Biconomy,"[""[Docs](https://docs.biconomy.io/)""]",SDK,"[""Gasless transactions"",""Relayer"",""AbstractJS SDK""]",$0,Free,,"Multichain relayer infrastructure offering gasless transactions, transaction batching and other features to simplify Web3 UX and onboarding",FALSE
bitbond-token-tool-pay-as-you-go,Bitbond Token Tool,"[""[Buy](https://tokentool.bitbond.com/pricing)"",""[Docs](https://docs.bitbond.com/asset-tokenization-suite)""]",Tool,"[""Blockchain"",""Tokenization"",""Smart Contracts"",""No-code / Codeless"",""Token Generator""]",Usage based,One-time payment,,"It is a web-based service for developers and businesses that provides a no-code platform to create, manage and distribute various blockchain tokens and NFTs across multiple EVM-compatible blockchains and other networks",FALSE
bitbond-token-tool-enterprise,Bitbond Token Tool,"[""[Buy](https://tokentool.bitbond.com/pricing)"",""[Docs](https://docs.bitbond.com/asset-tokenization-suite)""]",Tool,"[""Blockchain"",""Tokenization"",""Smart Contracts"",""No-code / Codeless"",""Token Generator""]",Usage based + flat fee,Enterprise,,"It is a web-based service for developers and businesses that provides a no-code platform to create, manage and distribute various blockchain tokens and NFTs across multiple EVM-compatible blockchains and other networks",FALSE
block-bucket,BlockBucket,"[""[Website](https://blockbucket.io/)""]",Tool,"[""Airdrop tool"",""Token management"",""Web3 developer tool""]",0.01 ETH + Gas fee,One-time payment,,It is a developer tool and Web3 decentralized application that helps project creators and developers airdrop ERC-20 project tokens to multiple Ethereum addresses simultaneously,FALSE
blockdaemon-sdk-free,Blockdaemon,"[""[Docs](https://docs.blockdaemon.com/reference/staking-sdk)""]",SDK,"[""Web3 Gateway"",""Institutional Grade Blockchain"",""Scalable Blockchain Solutions"",""Multi-Protocol Support""]",$0 ,TBD,,"It provides an extensive toolkit, including REST and RPC APIs and SDKs, for developers to build Web3 applications and integrate with various blockchain networks",FALSE
blockdaemon-sdk-pay-as-you-go,Blockdaemon,"[""[Contact](https://www.blockdaemon.com/api/pricing)""]",SDK,"[""Web3 Gateway"",""Institutional Grade Blockchain"",""Scalable Blockchain Solutions"",""Multi-Protocol Support""]",Custom,TBD,,"It provides an extensive toolkit, including REST and RPC APIs and SDKs, for developers to build Web3 applications and integrate with various blockchain networks",FALSE
blockdaemon-sdk-enterprise,Blockdaemon,"[""[Contact](https://www.blockdaemon.com/api/pricing)""]",SDK,"[""Web3 Gateway"",""Institutional Grade Blockchain"",""Scalable Blockchain Solutions"",""Multi-Protocol Support""]",Custom,TBD,,"It provides an extensive toolkit, including REST and RPC APIs and SDKs, for developers to build Web3 applications and integrate with various blockchain networks",FALSE
blocknative-batch-decoder,Blocknative,"[""[Website](https://blocknative.com/)"",""[Doc](https://docs.blocknative.com/ethernow/batch-decoder-api)""]",Tool,"[""Batch Decoder"",""Mempool Analysis"",""OP Stack"",""Explorer""]",Hybrid pricing model,Free,,"It offers a suite of APIs, SDKs, and tools that help developers and traders monitor, manage, and optimize blockchain transactions by providing visibility into the mempool",FALSE
blocksec-phalcon,Blocksec Phalcon,"[""[Website](https://phalcon.xyz/)""]",Security and compliance,"[""Web3 security"",""Smart contract security"",""Blockchain security""]",$1.2K-$7.1K,Pay-as-you-go,,"It provides a suite of developer tools focused on real-time security monitoring, automated attack blocking, and deep transaction analysis for Web3 projects and decentralized finance protocols",FALSE
blowfish-free,Blowfish,"[""[Website](blowfish.xyz)""]",Security and compliance,"[""Encryption"",""Password Hashing"",""Data Security"",""Cryptography""]",$0,Free,,Protects Web3 users by analyzing transactions to identify and block malicious activity in real-time,FALSE
blowfish-enterprise,Blowfish,"[""[Website](blowfish.xyz)""]",Security and compliance,"[""Encryption"",""Password Hashing"",""Data Security"",""Cryptography""]",Custom,Enterprise,,Protects Web3 users by analyzing transactions to identify and block malicious activity in real-time,FALSE
bonadocs,Bonadocs,"[""[Website](https://registry.bonadocs.com/)""]",Tool,"[""Blockchain documentation"",""Smart contract documentation"",""API documentation tool""]",$0,Free,,"It provides a suite of developer tools designed to simplify smart contract integration, documentation, and collaboration for Web3 engineering teams",FALSE
bonadocs-docgen,Bonadocs Docgen,"[""[Docs](https://docs.bonadocs.com/)""]",Tool,"[""Documentation"",""Dev Productivity""]",$0,TBD,,"It helps developers automatically generate beautiful, interactive documentation websites for their Solidity smart contract projects directly from the codebase",FALSE
brand-extender,Brand Extender,"[""[Website](https://brandextender.io/)""]",NFT,"[""NFT/Web3 Tools"",""SDK""]",$0,TBD,,"It enables the creation of fully on-chain derivative NFTs or sets of NFTs, leveraging existing NFT collections with open intellectual property (IP) rights",FALSE
brownie,Brownie,"[""[Website](https://github.com/eth-brownie/brownie)""]",Framework,"[""Python framework for Ethereum smart contracts""]",$0,Free,,"It provides developers with a robust set of tools to write, test, debug, and deploy smart contracts using the Python programming language instead of JavaScript/TypeScript, which is more common in Web3 development",FALSE
build-bear-free,BuildBear,"[""[Website](https://www.buildbear.io/)"",""[Docs](https://www.buildbear.io/docs/docs)""]",Testing and Debugging,"[""Web3 Development"",""Smart Contract Testing"",""EVM-Compatible Testnets""]",$0,TBD,,"It provides cloud-enabled, private and shareable EVM sandbox environments for testing and debugging smart contracts in production-like conditions",FALSE
build-bear-developer,BuildBear,"[""[Buy](https://www.buildbear.io/pricing)"",""[Docs](https://www.buildbear.io/docs/docs)""]",Testing and Debugging,"[""Web3 Development"",""Smart Contract Testing"",""EVM-Compatible Testnets""]",$49/mo,TBD,,"It provides cloud-enabled, private and shareable EVM sandbox environments for testing and debugging smart contracts in production-like conditions",FALSE
build-bear-team,BuildBear,"[""[Buy](https://www.buildbear.io/pricing)"",""[Docs](https://www.buildbear.io/docs/docs)""]",Testing and Debugging,"[""Web3 Development"",""Smart Contract Testing"",""EVM-Compatible Testnets""]",$199/mo,TBD,,"It provides cloud-enabled, private and shareable EVM sandbox environments for testing and debugging smart contracts in production-like conditions",FALSE
build-bear-enterprise,BuildBear,"[""[Contact](https://www.buildbear.io/pricing)"",""[Docs](https://www.buildbear.io/docs/docs)""]",Testing and Debugging,"[""Web3 Development"",""Smart Contract Testing"",""EVM-Compatible Testnets""]",up to $499,TBD,,"It provides cloud-enabled, private and shareable EVM sandbox environments for testing and debugging smart contracts in production-like conditions",FALSE
cannon,Cannon,"[""[Website](https://usecannon.com/)"",""[Docs](https://usecannon.com/learn/guides/get-started/setup)""]",Tool,"[""Smart Contract Deployment"",""Blockchain DevOps"",""Ethereum Network Development"",""Smart Contract Package Manager""]",$0 ,TBD,,"It helps manage and streamline the deployment, upgrade and configuration of smart contracts and entire protocols across various networks",FALSE
capstone-disassembler,Capstone Disassembler,"[""[Website](https://github.com/crytic/pyevmasm)""]",Library,"[""EVM assembler library"",""EVM disassembler"",""Assemble EVM instructions"",""EVM bytecode generation""]",$0,Free,,It provides the granular control and visibility needed to work directly with the low-level machine code that powers smart contracts on Ethereum and other EVM-compatible blockchains,FALSE
catapulta-free,Catapulta,"[""[Website](https://catapulta.sh/)"",""[Docs](https://catapulta.sh/)""]",Development platform,"[""Catapulta.sh"",""Web3 Developer Tools"",""Blockchain Development""]",$0,TBD,,It helps developers accelerate their Web3 application development by simplifying complex operations and integrating with existing workflows like Foundry and Hardhat ,FALSE
catapulta-pay-as-you-go,Catapulta,"[""[Buy](https://catapulta.sh/pricing)"",""[Docs](https://catapulta.sh/)""]",Development platform,"[""Catapulta.sh"",""Web3 Developer Tools"",""Blockchain Development""]",up to $20/mo,TBD,,It helps developers accelerate their Web3 application development by simplifying complex operations and integrating with existing workflows like Foundry and Hardhat ,FALSE
catapulta-enterprise,Catapulta,"[""[Contact](https://catapulta.sh/)"",""[Docs](https://cal.com/catapulta/30min)""]",Development platform,"[""Catapulta.sh"",""Web3 Developer Tools"",""Blockchain Development""]",Custom,TBD,,It helps developers accelerate their Web3 application development by simplifying complex operations and integrating with existing workflows like Foundry and Hardhat ,FALSE
ceramic-sdk,Ceramic Network,"[""[Website](https://github.com/ceramicnetwork/ceramic-sdk)"",""[Docs](https://developers.ceramic.network/docs/protocol/ceramic-one/usage/installation)""]",SDK,"[""Decentralized Data"",""Composable Data"",""Data Network"",""Decentralized Identifiers""]",$0,TBD,,"It allows developers to integrate database-like functionality for dynamic, user-controlled content, moving beyond static file storage or limited on-chain data",FALSE
chainbase-sdk-free,Chainbase,"[""[Docs](https://docs.chainbase.com/introduction/networks/developers)""]",SDK,"[""Multi-Chain Data Platform"",""Blockchain Developer Tools"",""Blockchain Data API"",""On-Chain Data Analytics""]",$0 ,TBD,,"It provides a full suite of tools and SDKs to help developers build Web3 applications more efficiently, including a console for creating, debugging and managing projects",FALSE
chainbase-sdk-developer,Chainbase,"[""[Buy](https://platform.chainbase.com/pricing)""]",SDK,"[""Multi-Chain Data Platform"",""Blockchain Developer Tools"",""Blockchain Data API"",""On-Chain Data Analytics""]",$99/mo,TBD,,"It provides a full suite of tools and SDKs to help developers build Web3 applications more efficiently, including a console for creating, debugging and managing projects",FALSE
chainbase-sdk-enterprise,Chainbase,"[""[Contact](https://platform.chainbase.com/contact)""]",SDK,"[""Multi-Chain Data Platform"",""Blockchain Developer Tools"",""Blockchain Data API"",""On-Chain Data Analytics""]",Custom,TBD,,"It provides a full suite of tools and SDKs to help developers build Web3 applications more efficiently, including a console for creating, debugging and managing projects",FALSE
chain-ide,ChainIDE,"[""[Website](https://chainide.com/)""]",IDE,"[""Web3 IDE"",""Blockchain development tools"",""Cloud-based IDE"",""Smart contract development""]",$0,Free,,"It provides a cloud-based, multi-chain Integrated Development Environment that offers a comprehensive, all-in-one platform for developers to build, test, and deploy decentralized applications and smart contracts",FALSE
chain-jet-free,ChainJet,"[""[Website](https://chainjet.io/)""]",Development platform,"[""Automation & Integration"",""Customer Relationship Management Blockchain"",""No-Code/Low-Code""]",$0 ,TBD,,"It is a no-code, decentralized platform that allows users and developers to build on-chain and off-chain task automations and workflows using a library of pre-tested modules",FALSE
chain-jet-starter,ChainJet,"[""[Buy](https://chainjet.io/pricing)""]",Development platform,"[""Automation & Integration"",""Customer Relationship Management Blockchain"",""No-Code/Low-Code""]",$29/mo,TBD,,"It is a no-code, decentralized platform that allows users and developers to build on-chain and off-chain task automations and workflows using a library of pre-tested modules",FALSE
chain-jet-pro,ChainJet,"[""[Buy](https://chainjet.io/pricing)""]",Development platform,"[""Automation & Integration"",""Customer Relationship Management Blockchain"",""No-Code/Low-Code""]",$79/mo,TBD,,"It is a no-code, decentralized platform that allows users and developers to build on-chain and off-chain task automations and workflows using a library of pre-tested modules",FALSE
chain-jet-business,ChainJet,"[""[Buy](https://chainjet.io/pricing)""]",Development platform,"[""Automation & Integration"",""Customer Relationship Management Blockchain"",""No-Code/Low-Code""]",$299/mo,TBD,,"It is a no-code, decentralized platform that allows users and developers to build on-chain and off-chain task automations and workflows using a library of pre-tested modules",FALSE
chain-jet-enterprise,ChainJet,"[""[Contact](https://chainjet.io/login?go=/complete-subscription?p=price_1Npt1UFrRlOZNZ9x2LBGBlzg)""]",Development platform,"[""Automation & Integration"",""Customer Relationship Management Blockchain"",""No-Code/Low-Code""]",$799/mo,TBD,,"It is a no-code, decentralized platform that allows users and developers to build on-chain and off-chain task automations and workflows using a library of pre-tested modules",FALSE
chainlink-ccip,Chainlink CCIP,"[""[Docs](https://docs.chain.link/ccip)""]",Tool,"[""Blockchain interoperability""]",Custom,Pay-as-you-go,,Blockchain interoperability protocol for transferring tokens and messages across chains,FALSE
chainlist,Chainlist,"[""[Website](https://chainlist.org/)"",""[Docs](https://sites.google.com/view/chainlistsafe/)""]",Tool,"[""Web3 Developer Tools"",""MetaMask Integration"",""Wallet Connection"",""Custom Network Information"",""Multichain""]",$0 ,TBD,,"It provides a comprehensive and verified list of network details for various Ethereum Virtual Machine compatible blockchains, which simplifies a crucial configuration step for Web3 developers and users. ",FALSE
cobra,Cobra,"[""[Website](https://github.com/cobraframework/cobra)""]",Framework,"[""Go CLI framework"",""Golang command line interface"",""Cobra library"",""Cobra CLI""]",$0,Free,,"It provides functionalities for building command-line interfaces (CLIs), cloud-native security simulation, and project management/cost control",FALSE
codeslaw,Codeslaw,"[""[Website](https://www.codeslaw.app/)""]",Tool,"[""Smart Contract Search Engine"",""Verified Contract Code"",""Web3 Development""]",$0,Free,,"Developer tool and search engine that allows developers to search for and explore verified smart contract code across various blockchain networks, primarily Ethereum",FALSE
coinflow,Coinflow,"[""[Website](https://coinflow.cash/)""]",Tool,"[""Payment Infrastructure/Solutions"",""Web3/Crypto Integration"",""API integration""]",Custom,Dedicated,,"It provides a suite of tools that enable developers to seamlessly integrate comprehensive payment solutions into their applications: Accept diverse payments, Instant settlement, Risk and compliance management",FALSE
coinsdo,CoinsDo,"[""[Website](https://www.coinsdo.com/en)""]",Tool,"[""Wallet as a Service (WaaS)"",""Digital asset wallet solutions"",""Cryptocurrency wallet API""]",$0,Free,,"Provides a suite of developer tools, primarily a Wallet-as-a-Service solution, that allows developers and businesses to integrate secure, non-custodial digital asset management and transaction capabilities into their own applications",FALSE
cometh,Cometh,"[""[Website](https://cometh.io/)""]",Development platform,"[""Web3 game development"",""Blockchain game development"",""dApp development tools""]",Custom,Enterprise,,"It provides an API and SDK, smart contract development tools, and abstractions of complex backend infrastructure to help development teams focus on user experience",FALSE
connectkit,ConnectKit,"[""[Website](https://family.co/docs/connectkit)""]",Library,"[""Wallet Connect"",""Web3 wallet"",""Typescript"",""React Component Library""]",$0,Free,,React component library for Web3 frontend developers that simplifies the process of connecting a user's cryptocurrency wallet to a decentralized application,FALSE
cookbook-dev,Cookbook.dev,"[""[Website](https://www.cookbook.dev)""]",Development platform,"[""Smart Contracts"",""Registry"",""Solidity""]",Custom,TBD,,"It offers an open-source smart contract registry and an AI-powered ecosystem to help developers research, build and deploy smart contracts quickly and efficiently",FALSE
create-eth-app,WalletConnect,"[""[Website](https://github.com/WalletConnect/create-eth-app)""]",Tool,"[""Ethereum App Creation"",""dApp Boilerplate"",""Web3 App Development"",""Frontend Development"",""Blockchain Application Starter Kit""]",$0 ,TBD,,"It helps developers quickly bootstrap and create modern, single-page, Ethereum-powered decentralized applications with a single command",FALSE
crossmint-free,Crossmint,"[""[Website](https://crossmint.com/)""]",NFT,"[""NFT"",""Minting"",""Payments"",""Fiat On-Ramp""]",$0,Free,,"Platform enabling fiat on-ramp for NFTs, letting users mint NFTs with credit cards; supports Optimism for seamless onboarding of new users",FALSE
crossmint-enterprise,Crossmint,"[""[Contact](https://www.crossmint.com/contact/sales)""]",NFT,"[""NFT"",""Minting"",""Payments"",""Fiat On-Ramp""]",Custom,Enterprise,,"Platform enabling fiat on-ramp for NFTs, letting users mint NFTs with credit cards; supports Optimism for seamless onboarding of new users",FALSE
curvegrid-free,Curvegrid,"[""[Website](https://www.curvegrid.com/)""]",Tool,"[""Web3 infrastructure"",""API"",""Smart contracts"",""Enterprise blockchain""]",$0,Free,,It provides developer tools and infrastructure-as-a-service to help businesses and developers build and deploy decentralized applications faster and more easily,FALSE
curvegrid-enterprise,Curvegrid,"[""[Website](https://www.curvegrid.com/)""]",Tool,"[""Web3 infrastructure"",""API"",""Smart contracts"",""Enterprise blockchain""]",Custom,Enterprise,,It provides developer tools and infrastructure-as-a-service to help businesses and developers build and deploy decentralized applications faster and more easily,FALSE
cyvers,Cyvers,"[""[Website](https://cyvers.ai/)""]",Security and compliance,"[""Web3 Security"",""Blockchain Security"",""Real-Time Threat Detection"",""Machine Learning Security""]",$0,Free,,"It is a Web3 security company that provides developers with tools and an AI-powered platform for real-time threat detection, prevention, and compliance in blockchain ecosystems",FALSE
