slug,provider,actionButtons,toolType,tag,price,planType,planName,description,starred
bonadocs,Bonadocs,"[""[Website](https://registry.bonadocs.com/)""]",Tool,"[""Blockchain documentation"",""Smart contract documentation"",""API documentation tool""]",Custom,Enterprise,,"It provides a suite of developer tools designed to simplify smart contract integration, documentation, and collaboration for Web3 engineering teams",FALSE
bonadocs-docgen,Bonadocs Docgen,"[""[Docs](https://docs.bonadocs.com/)""]",Tool,"[""Documentation"",""Dev Productivity""]",Custom,Enterprise,,"It helps developers automatically generate beautiful, interactive documentation websites for their Solidity smart contract projects directly from the codebase",FALSE
brand-extender,Brand Extender,"[""[Website](https://brandextender.io/)""]",NFT,"[""NFT/Web3 Tools"",""SDK""]",Custom,Enterprise,,"It enables the creation of fully on-chain derivative NFTs or sets of NFTs, leveraging existing NFT collections with open intellectual property (IP) rights",FALSE
build-bear-developer,BuildBear,"[""[Buy](https://www.buildbear.io/pricing)"",""[Docs](https://www.buildbear.io/docs/docs)""]",Testing and Debugging,"[""Web3 Development"",""Smart Contract Testing"",""EVM-Compatible Testnets""]",$49/mo,Tiered,Developer,"It provides cloud-enabled, private and shareable EVM sandbox environments for testing and debugging smart contracts in production-like conditions",FALSE
build-bear-enterprise,BuildBear,"[""[Contact](https://www.buildbear.io/pricing)"",""[Docs](https://www.buildbear.io/docs/docs)""]",Testing and Debugging,"[""Web3 Development"",""Smart Contract Testing"",""EVM-Compatible Testnets""]",From $499,Enterprise,,"It provides cloud-enabled, private and shareable EVM sandbox environments for testing and debugging smart contracts in production-like conditions",FALSE
build-bear-explorer,BuildBear,"[""[Website](https://www.buildbear.io/pricing)"",""[Docs](https://www.buildbear.io/docs/docs)""]",Testing and Debugging,"[""Web3 Development"",""Smart Contract Testing"",""EVM-Compatible Testnets""]",$0,Free,Explorer,"It provides cloud-enabled, private and shareable EVM sandbox environments for testing and debugging smart contracts in production-like conditions",FALSE
build-bear-team,BuildBear,"[""[Buy](https://www.buildbear.io/pricing)"",""[Docs](https://www.buildbear.io/docs/docs)""]",Testing and Debugging,"[""Web3 Development"",""Smart Contract Testing"",""EVM-Compatible Testnets""]",$199/mo,Tiered,Team,"It provides cloud-enabled, private and shareable EVM sandbox environments for testing and debugging smart contracts in production-like conditions",FALSE
cannon,Cannon,"[""[Website](https://usecannon.com/)"",""[Docs](https://usecannon.com/learn/guides/get-started/setup)""]",Tool,"[""Smart Contract Deployment"",""Blockchain DevOps"",""Ethereum Network Development"",""Smart Contract Package Manager""]",Custom,Enterprise,,"It helps manage and streamline the deployment, upgrade and configuration of smart contracts and entire protocols across various networks",FALSE
chain-ide,ChainIDE,"[""[Website](https://chainide.com/)""]",IDE,"[""Web3 IDE"",""Blockchain development tools"",""Cloud-based IDE"",""Smart contract development""]",$0,Free,,"It provides a cloud-based, multi-chain Integrated Development Environment that offers a comprehensive, all-in-one platform for developers to build, test, and deploy decentralized applications and smart contracts",FALSE
chain-jet-business,ChainJet,"[""[Buy](https://chainjet.io/pricing)""]",Development platform,"[""Automation & Integration"",""Customer Relationship Management Blockchain"",""No-Code/Low-Code""]",$299/mo,Tiered,Business,"It is a no-code, decentralized platform that allows users and developers to build on-chain and off-chain task automations and workflows using a library of pre-tested modules",FALSE
chain-jet-enterprise,ChainJet,"[""[Contact](https://chainjet.io)""]",Development platform,"[""Automation & Integration"",""Customer Relationship Management Blockchain"",""No-Code/Low-Code""]",$799/mo,Enterprise,,"It is a no-code, decentralized platform that allows users and developers to build on-chain and off-chain task automations and workflows using a library of pre-tested modules",FALSE
chain-jet-free,ChainJet,"[""[Website](https://chainjet.io/)""]",Development platform,"[""Automation & Integration"",""Customer Relationship Management Blockchain"",""No-Code/Low-Code""]",$0,Free,,"It is a no-code, decentralized platform that allows users and developers to build on-chain and off-chain task automations and workflows using a library of pre-tested modules",FALSE
chain-jet-pro,ChainJet,"[""[Buy](https://chainjet.io/pricing)""]",Development platform,"[""Automation & Integration"",""Customer Relationship Management Blockchain"",""No-Code/Low-Code""]",$79/mo,Tiered,Pro,"It is a no-code, decentralized platform that allows users and developers to build on-chain and off-chain task automations and workflows using a library of pre-tested modules",FALSE
chain-jet-starter,ChainJet,"[""[Buy](https://chainjet.io/pricing)""]",Development platform,"[""Automation & Integration"",""Customer Relationship Management Blockchain"",""No-Code/Low-Code""]",$29/mo,Tiered,Starter,"It is a no-code, decentralized platform that allows users and developers to build on-chain and off-chain task automations and workflows using a library of pre-tested modules",FALSE
chainlink-ccip,Chainlink CCIP,"[""[Docs](https://docs.chain.link/ccip)""]",Tool,"[""Blockchain interoperability""]",Custom,Pay-as-you-go,,Blockchain interoperability protocol for transferring tokens and messages across chains,FALSE
chainlist,Chainlist,"[""[Website](https://chainlist.org/)"",""[Docs](https://sites.google.com/view/chainlistsafe/)""]",Tool,"[""Web3 Developer Tools"",""MetaMask Integration"",""Wallet Connection"",""Custom Network Information"",""Multichain""]",$0,Free,,"It provides a comprehensive and verified list of network details for various Ethereum Virtual Machine compatible blockchains, which simplifies a crucial configuration step for Web3 developers and users. ",FALSE
codeslaw,Codeslaw,"[""[Website](https://www.codeslaw.app/)""]",Tool,"[""Smart Contract Search Engine"",""Verified Contract Code"",""Web3 Development""]",$0,Free,,"Developer tool and search engine that allows developers to search for and explore verified smart contract code across various blockchain networks, primarily Ethereum",FALSE
coinflow,Coinflow,"[""[Website](https://coinflow.cash/)""]",Tool,"[""Payment Infrastructure/Solutions"",""Web3/Crypto Integration"",""API integration""]",Custom,Dedicated,,"It provides a suite of tools that enable developers to seamlessly integrate comprehensive payment solutions into their applications: Accept diverse payments, Instant settlement, Risk and compliance management",FALSE
coinsdo,CoinsDo,"[""[Website](https://www.coinsdo.com/en)""]",Tool,"[""Wallet as a Service (WaaS)"",""Digital asset wallet solutions"",""Cryptocurrency wallet API""]",Custom,Enterprise,,"Provides a suite of developer tools, primarily a Wallet-as-a-Service solution, that allows developers and businesses to integrate secure, non-custodial digital asset management and transaction capabilities into their own applications",FALSE
cometh,Cometh,"[""[Website](https://cometh.io/)""]",Development platform,"[""Web3 game development"",""Blockchain game development"",""dApp development tools""]",Custom,Enterprise,,"It provides an API and SDK, smart contract development tools, and abstractions of complex backend infrastructure to help development teams focus on user experience",FALSE
cookbook-dev,Cookbook.dev,"[""[Website](https://www.cookbook.dev)""]",Development platform,"[""Smart Contracts"",""Registry"",""Solidity""]",Custom,Enterprise,,"It offers an open-source smart contract registry and an AI-powered ecosystem to help developers research, build and deploy smart contracts quickly and efficiently",FALSE
create-eth-app,WalletConnect,"[""[Website](https://github.com/WalletConnect/create-eth-app)""]",Tool,"[""Ethereum App Creation"",""dApp Boilerplate"",""Web3 App Development"",""Frontend Development"",""Blockchain Application Starter Kit""]",$0,Free,,"It helps developers quickly bootstrap and create modern, single-page, Ethereum-powered decentralized applications with a single command",FALSE
crossmint-enterprise,Crossmint,"[""[Contact](https://www.crossmint.com/contact/sales)""]",NFT,"[""NFT"",""Minting"",""Payments"",""Fiat On-Ramp""]",Custom,Enterprise,,"Platform enabling fiat on-ramp for NFTs, letting users mint NFTs with credit cards; supports Optimism for seamless onboarding of new users",FALSE
crossmint-free,Crossmint,"[""[Website](https://crossmint.com/)""]",NFT,"[""NFT"",""Minting"",""Payments"",""Fiat On-Ramp""]",$0,Free,,"Platform enabling fiat on-ramp for NFTs, letting users mint NFTs with credit cards; supports Optimism for seamless onboarding of new users",FALSE
curvegrid-enterprise,Curvegrid,"[""[Website](https://www.curvegrid.com/)""]",Tool,"[""Web3 infrastructure"",""API"",""Smart contracts"",""Enterprise blockchain""]",Custom,Enterprise,,It provides developer tools and infrastructure-as-a-service to help businesses and developers build and deploy decentralized applications faster and more easily,FALSE
curvegrid-free,Curvegrid,"[""[Website](https://www.curvegrid.com/)""]",Tool,"[""Web3 infrastructure"",""API"",""Smart contracts"",""Enterprise blockchain""]",$0,Free,,It provides developer tools and infrastructure-as-a-service to help businesses and developers build and deploy decentralized applications faster and more easily,FALSE
cyvers,Cyvers,"[""[Website](https://cyvers.ai/)""]",Security and compliance,"[""Web3 Security"",""Blockchain Security"",""Real-Time Threat Detection"",""Machine Learning Security""]",$0,Free,,"It is a Web3 security company that provides developers with tools and an AI-powered platform for real-time threat detection, prevention, and compliance in blockchain ecosystems",FALSE
dapp-launchpad,Dapp Launchpad,"[""[Website](https://github.com/0xPolygon/dapp-launchpad)""]",CLI,"[""JavaScript"",""Boilerplate""]",$0,Free,,Boilerplate and toolkits for launching Polygon dApps fast,FALSE
dapprovals-basic,dApprovals,"[""[Website](https://dapproval.com/)""]",Tool,"[""Code Review Approvals"",""Deployment Approvals"",""CI/CD Approvals"",""Infrastructure Approvals""]",£12,Tiered,Basic,Provides services for managing and securing Web3 transaction approvals,FALSE
dapprovals-enterprise,dApprovals,"[""[Website](https://dapproval.com/)""]",Tool,"[""Code Review Approvals"",""Deployment Approvals"",""CI/CD Approvals"",""Infrastructure Approvals""]",Custom,Enterprise,Custom,Provides services for managing and securing Web3 transaction approvals,FALSE
dapprovals-standard,dApprovals,"[""[Website](https://dapproval.com/)""]",Tool,"[""Code Review Approvals"",""Deployment Approvals"",""CI/CD Approvals"",""Infrastructure Approvals""]",£18,Tiered,Standard,Provides services for managing and securing Web3 transaction approvals,FALSE
datacurve-enterprise,DataCurve,"[""[Website](https://datacurve.io/)""]",AI,"[""AI platform"",""Customer data platform"",""Data analytics"",""CRM integration""]",Custom,Enterprise,,"DataCurve unifies sport fan identity and behavior across every touchpoint using blockchain - creating a measurable foundation for personalization, sponsor attribution, and revenue growth.",FALSE
decubate-tms,Decubate TMS,"[""[Website](https://tms.finance/)""]",Finance,"[""No-code token platform"",""Token minting"",""Liquidity farming""]",From $5K,Enterprise,,"It is a no-code, all-in-one platform that provides Web3 builders and projects with the necessary tools to launch, manage, and scale their tokens efficiently and securely",FALSE
defi-builder,DeFi Builder,"[""[Website](https://app.defibuilder.com)""]",Development platform,"[""No-code"",""SaaS"",""Web3 Development""]",Custom,Enterprise,,"It provides a suite of AI-powered, no-code development tools that enable developers and non-technical users to generate, audit, and deploy various decentralized applications and smart contracts on multiple blockchain networks",FALSE
dynamic-enterprise,Dynamic,"[""[Contact](https://calendly.com/nmendoza-fireblocks/dynamic?month=2026-01)""]",Development platform,"[""Software Development Tools"",""Application Development Tools"",""Platform as a Service"",""Integrated Development Environment""]",Custom,Enterprise,,"It provides a suite of developer tools, primarily an SDK, to help integrate Web3 authentication, user management and non-custodial wallet infrastructure into applications",FALSE
dynamic-launch,Dynamic,"[""[Website](https://www.dynamic.xyz/)""]",Development platform,"[""Software Development Tools"",""Application Development Tools"",""Platform as a Service"",""Integrated Development Environment""]",$0,Free,Launch,"It provides a suite of developer tools, primarily an SDK, to help integrate Web3 authentication, user management and non-custodial wallet infrastructure into applications",FALSE
dynamic-growth,Dynamic,"[""[Buy](https://www.dynamic.xyz/pricing)""]",Development platform,"[""Software Development Tools"",""Application Development Tools"",""Platform as a Service"",""Integrated Development Environment""]",$249/mo,Tiered,Growth,"It provides a suite of developer tools, primarily an SDK, to help integrate Web3 authentication, user management and non-custodial wallet infrastructure into applications",FALSE
echidna,Echidna,"[""[Website](https://github.com/crytic/echidna)""]",Testing and Debugging,"[""Smart contract security"",""Fuzzing tool"",""Property-based testing"",""Ethereum developer tools"",""Solidity testing""]",$0,Free,,"It is an open-source property-based fuzzer for Ethereum smart contracts, developed by the security firm Trail of Bits",FALSE
enso,Enso,"[""[Website](https://www.enso.finance/)""]",Development platform,"[""Data analysis"",""Visual programming"",""Web3/blockchain development""]",$0,Free,,It is described as a blockchain development framework and shared execution network designed to simplify the creation of cross-chain applications by providing developers with tools like reusable Actions and Shortcuts,FALSE
ercx-free,ERCx,"[""[Website](https://ercx.runtimeverification.com/)""]",Testing and Debugging,"[""Blockchain Development"",""Web3 Security"",""Token Standards"",""Code Auditing""]",$0,Free,,"It offers a conformance and property-checking platform for Ethereum smart contracts, specifically those implementing ERC token standards like ERC-20, ERC-721, and ERC-1155",FALSE
ercx-standard,ERCx,"[""[Buy](https://ercx.runtimeverification.com/pricing)""]",Testing and Debugging,"[""Blockchain Development"",""Web3 Security"",""Token Standards"",""Code Auditing""]",$100/mo,Tiered,Standard,"It offers a conformance and property-checking platform for Ethereum smart contracts, specifically those implementing ERC token standards like ERC-20, ERC-721, and ERC-1155",FALSE
ercx-enteprise,ERCx,"[""[Buy](https://ercx.runtimeverification.com/pricing)""]",Testing and Debugging,"[""Blockchain Development"",""Web3 Security"",""Token Standards"",""Code Auditing""]",$1K/mo,Tiered,Enterprise,"It offers a conformance and property-checking platform for Ethereum smart contracts, specifically those implementing ERC token standards like ERC-20, ERC-721, and ERC-1155",FALSE
eth-calldata-decoder,ETH Calldata Decoder,"[""[Website](https://calldata.swiss-knife.xyz/decoder)""]",Tool,"[""ETH calldata decoder"",""Ethereum calldata decoder"",""Decode transaction calldata"",""Smart contract debugger""]",$0,Free,,"It is a developer tool that translates raw, hexadecimal transaction input data i.e calldata into a human-readable format",FALSE
ethereum-etl,Ethereum ETL,"[""[Website](https://github.com/blockchain-etl/ethereum-etl)""]",CLI,"[""Ethereum ETL"",""Blockchain data analytics"",""Web3 data infrastructure"",""ETL (Extract, Transform, Load)"",""On-chain data""]",$0,TBD,,"It provides Python and Rust scripts to extract, transform, and load (ETL) data from the Ethereum blockchain into more convenient formats like CSV files, JSON files, or relational databases (such as PostgreSQL)",FALSE
ethui,Ethui,"[""[Website](https://github.com/ethui/ethui)""]",Tool,"[""Desktop-Native Interface""]",$0,Free,,It is desktop-native Ethereum development toolkit that integrates crypto wallet functionalities with tools aimed at improving the workflow for smart contract and dApp development and testing,FALSE
evm-2,EVM2,"[""[Website](https://github.com/hananbeer/evm2)""]",Testing and Debugging,"[""EVM tools"",""Blockchain developer tools"",""Smart contract development""]",$0,Free,,It provides a crucial sandbox environment for developers to meticulously analyze and verify the behavior of their smart contracts locally and in detail before deploying them to a public blockchain network,FALSE
evm-toolkit,EVM Toolkit,"[""[Website](https://quilt.github.io/etk/)""]",Tool,"[""EVM Toolkit"",""Ethereum Virtual Machine"",""Blockchain developer tools"",""Smart contract development""]",$0,Free,,"It provides fundamental utilities, specifically an assembler and a disassembler, for working with raw EVM bytecode",FALSE
evmdis,Evmdis,"[""[Website](https://github.com/Arachnid/evmdis)""]",Tool,"[""Ethereum Virtual Machine Disassembler""]",$0,Free,,It is Ethereum Virtual Machine disassembler that analyzes smart contract bytecode to make it more understandable for developers and security researchers,FALSE
failsafe,FailSafe,"[""[Website](https://getfailsafe.com/)""]",Security and compliance,"[""AI Security"",""Penetration Testing"",""Real-Time Threat Detection"",""Security Audits""]",$0,Free,,"It focused on security and compliance for the blockchain, Web3 and AI industries",FALSE
forge,Forge,"[""[Website](https://getfoundry.sh/forge/overview/)""]",CLI,"[""Command-line tool""]",$0,Free,,"It is a command-line interface tool designed for Ethereum developers to build, test, debug, deploy and verify Solidity smart contracts",FALSE
gas-station-network,Polygon,"[""[Docs](https://docs.polygon.technology/tools/gas/polygon-gas-station/)""]",Tool,"[""Web"",""API""]",$0,Free,,Gas price oracle API and dashboard for Polygon estimating current gas prices for dApps UX,FALSE
