slug,provider,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,actionButtons
zypto,Zypto Wallet,TRUE,"[""iOS"",""Android"",""Web""]",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155""]",FALSE,$0,"[""email"",""helpdesk""]",,"[""EN""]",FALSE,"[""[Website](https://zypto.com/)""]"
virgo,Virgo,FALSE,"[""Android"",""Chrome"",""Firefox""]",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20"",""ERC-721""]",TRUE,$0,"[""[Discord](https://discord.gg/mSqDRzvBug)"",""[Telegram](https://t.me/virgoCommunity)""]",[],"[""EN""]",FALSE,"[""[Website](https://virgo.net/)""]"
wigwam,Wigwam,TRUE,"[""iOS"",""Android"",""Chrome"",""Desktop""]",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20"",""ERC-721""]",FALSE,$0,"[""[email](mailto:info@wigwam.app)"",""[help guides](https://wigwam.app/help)""]","[""January 2024 by Halborn""]","[""EN"",""ES"",""FR"",""IT"",""JA"",""KO"",""RU"",""UK"",""ZH""]",FALSE,"[""[Website](https://wigwam.app/)""]"
gate,Gate,FALSE,"[""Chrome"",""iOS"",""Android""]",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20"",""ERC-721""]",TRUE,$0,"[""email"",""telegram"",""discord""]","[""January 2024 by Hacken""]","[""EN"",""ZH""]",FALSE,"[""[Website](https://www.gate.com/web3)""]"
bridgewallet,BridgeWallet,FALSE,"[""iOS"",""Android""]",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20""]",FALSE,$0,"[""email"",""telegram"",""discord""]",[],"[""EN"",""FR"",""ES"",""IT"",""DE"",""PT"",""ZH"",""JA""]",FALSE,"[""[Website](https://www.mtpelerin.com/bridge-wallet)""]"
unstoppable,Unstoppable,TRUE,"[""iOS"",""Android""]",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20"", ""BEP-2"", ""BEP-20"", ""ERC-721"", ""SPL"", ""HRC-20""]",FALSE,$0,"[""email"",""x"",""telegram""]","[""audit by third parties""]","[""EN"",""FR"", ""DE"",""KO"",""PT"",""RU"",""ZH"", ""ES"", ""TR""]",FALSE,"[""[Website](https://unstoppable.money/)""]"
rainbow,Rainbow,TRUE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"[""ERC-20"", ""ERC-721"", ""ERC-1155""]",FALSE,Paid(swap fee),"[""email""]",[],"[""EN"",""FR"",""KO"",""PT"",""RU"",""ZH"", ""ES"", ""TR"", ""ID"", ""AR"", ""HI"", ""TH"", ""JA""]",FALSE,"[""[Website](https://rainbow.me/en/)""]"
zengo,Zengo,FALSE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"[""ERC-20"", ""BEP-20""]",TRUE,$0,"[""email"",""24/7 live chat"",""x"",""facebook"",""telegram""]","[""annual audit""]","[""EN"", ""ES"", ""FR""]",FALSE,"[""[Website](http://zengo.com/)""]"
zengo-pro,Zengo Pro,FALSE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"[""ERC-20"", ""BEP-20""]",TRUE,"$9.99/mo, $49.99/year","[""email"",""24/7 live chat"",""x"",""facebook"",""telegram""]","[""annual audit""]","[""EN"", ""ES"", ""FR""]",FALSE,"[""[Website](http://zengo.com/pro/)""]"
pillar,Pillar,TRUE,"[""iOS"",""Android""]",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"[""ERC-20"", ""ERC-721"", ""ERC-1155"", ""ERC-7579""]",FALSE,Paid(On-chain transactions only),"[""discord"",""x"",""github""]",[],"[""EN""]",FALSE,"[""[Website](https://pillar.fi/)""]"
taho,Taho,TRUE,"[""Browser Extension""]",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[""ERC-20"", ""BEP-20"", ""ERC-721""]",FALSE,$0,"[""discod"",""x"",""github""]",[],"[""EN""]",FALSE,"[""[Website](https://taho.xyz/)""]"
mew,Mew,TRUE,"[""iOS""]",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"[""ERC-20"", ""ERC-721"", ""ERC-1155""]",FALSE,$0,"[""email"",""x""]","[""audit by third parties""]","[""EN"",""RU"",""ZH""]",FALSE,"[""[Help](https://help.myetherwallet.com/en/articles/6821718-which-cryptocurrencies-tokens-and-networks-does-mew-support)""]"
sequence,Sequence,TRUE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20"", ""ERC-721"", ""ERC-1155""]",FALSE,Paid,"[""x"",""discord""]","[""audit by third parties""]","[""EN"",""DE"",""IT""]",FALSE,"[""[Website](https://sequence.xyz/products/wallets)""]"
blockwallet,Blockwallet,TRUE,"[""Browser Extension""]",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20"", ""ERC-721"", ""ERC-1155""]",FALSE,Paid,"[""telegram"",""discord""]","[""audit by third parties""]","[""EN""]",FALSE,"[""[Website](https://blockwallet.io/)""]"
alphawallet,Alphawallet,TRUE,"[""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"[""ERC-20"", ""ERC-721"", ""ERC-1155"", ""ERC-875""]",TRUE,$0,"[""email"",""x"",""discord""]","[""audit by public""]","[""EN"",""RU"",""ZH""]",FALSE,"[""[Website](https://alphawallet.com/)""]"
imtoken,Imtoken,TRUE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20"", ""ERC-721"", ""TRC-20"", ""OP_RETURN"", ""EIP 4527""]",TRUE,Paid,"[""email"",""x"",""discord""]","[""audit by third parties""]","[""EN"",""KO"",""ZH"", ""JA""]",FALSE,"[""[Website](https://token.im/)""]"
c98wallet,C98wallet,FALSE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"[""ERC-20"", ""BEP-20"", ""SPL"", ""PRC-20"", ""VRC-25""]",TRUE,$0,"[""x"",""discord""]","[""audit with code""]","[""EN"",""FR"",""JA"",""PT"",""KO"",""ZH"", ""ES"", ""TR"", ""ID"", ""RU"", ""TH"", ""VI""]",FALSE,"[""[Website](https://coin98.com/)""]"
frontier,Frontier,TRUE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"[""ERC-20"", ""BEP-20"", ""ERC-721""]",TRUE,$0,"[""x"",""discord"",""telegram""]",[],"[""EN"",""FR"",""KO"",""ZH"", ""TR"", ""TH"", ""VI""]",FALSE,"[""[Website](https://www.frontier.xyz/)""]"
ctrl-wallet,Ctrl Wallet,TRUE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"[""ERC-20"", ""ERC-721"", ""ERC-1155"", ""BEP-20""]",TRUE,Paid,"[""chatbot""]","[""audit by third parties""]","[""EN""]",FALSE,"[""[Website](https://ctrl.xyz/)""]"
wallet3,Wallet 3,TRUE,"[""iOS"",""Android""]",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"[""ERC-4337""]",FALSE,$0,"[""discord""]","[""audit by third parties""]","[""EN""]",FALSE,"[""[Website](https://wallet3.io/)""]"
bitcoin-com-wallet,Bitcoin.com Wallet,FALSE,"[""iOS"",""Android""]",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20"", ""BEP-20""]",TRUE,$0 ,"[""email"",""app chat""]","[""audit by third parties""]","[""EN"",""FR"",""ES"",""DE"",""ZH"",""NL"", ""IT"", ""PL"", ""PT"", ""JA"",""IT"",""ID"",""HI"",""NL"",""CS"", ""CA"", ""BG"", ""AR"",""VI"",""TR"",""RU"",""FA"",""KO"", ""SV""]",FALSE,"[""[Website](https://wallet.bitcoin.com/)""]"
haha-wallet,Haha Wallet,TRUE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155"",""BEP-20""]",TRUE,$0 ,"[""email""]","[""not availale""]","[""EN""]",FALSE,"[""[Website](https://www.haha.me/)""]"
kryptogo-wallet,Kryptogo Wallet,FALSE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"[""ERC-20"",""BEP-2"",""BEP-20"",""ERC-721"",""SPL"",""TRC-20""]",FALSE,Paid,"[""email"",""telegram"",""discord"",""x""]","[""not availale""]","[""EN""]",FALSE,"[""[Website](https://www.kryptogo.com/products/wallet)""]"
sender,Sender,TRUE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20""]",TRUE,$0,"[""email"",""telegram"",""discord""]","[""audit by third parties""]","[""EN""]",FALSE,"[""[Website](https://docs.senderwallet.io/)""]"
kuma-wallet,Kuma Wallet,TRUE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155"",""ERC-7579"", ""XC-20""]",TRUE,$0,"[""x"",""telegram"",""discord""]","[""open to anyone""]","[""EN"", ""ES"", ""IT"", ""JA""]",FALSE,"[""[Website](https://kumawallet.io/)""]"
ultimate,Jupiter,FALSE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"[""ERC-20"",""BEP-2"",""BEP-20"",""ERC-721"",""SPL"",""TRC-20""]",TRUE,$0,"[""x"",""email""]","[""not availale""]","[""EN""]",FALSE,"[""[Website](https://ultimate.app/)""]"
martian-wallet,Martian Wallet,TRUE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"[""DA"", ""FA""]",TRUE,$0,"[""discord""]","[""audit by third parties""]","[""EN""]",FALSE,"[""[Website](https://martianwallet.xyz/)""]"
gem-wallet,Gem Wallet,TRUE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"[""ERC-20""]",TRUE,$0,"[""chat on website""]","[""open to anyone""]","[""EN""]",FALSE,"[""[Website](https://gemwallet.com/)""]"
holdstation,Holdstation,TRUE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155"",""BEP-20""]",TRUE,Paid,"[""help center on website"",""x"",""discord""]","[""audit by third parties""]","[""EN""]",FALSE,"[""[Website](https://holdstation.com)""]"
atomic-wallet,Atomic Wallet,FALSE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"[""ERC-20"", ""BEP-2"", ""TRC-20""]",TRUE,$0,"[""email"",""x"",""telegram""]","[""audit by third parties""]","[""EN""]",FALSE,"[""[Website](https://atomicwallet.io)""]"
sorted-wallet,Sorted Wallet,FALSE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155""]",FALSE,$0,"[""email""]","[""audit by third parties""]","[""EN""]",FALSE,"[""[Website](https://www.sorted.io/wallet)""]"
saakuru-wallet,Saakuru Wallet,FALSE,"[""iOS"",""Android""]",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"[""ERC-20"",""BEP-2"",""BEP-20"",""ERC-721"",""SPL"",""TRC-20"", ""TRC-10"", ""BRC-20""]",TRUE,$0,"[""email""]","[""not availale""]","[""EN"",""ES"",""FR"",""ID"",""TL"", ""VI"", ""ZH"", ""JA"",""TH"", ""DE""]",FALSE,"[""[Website](https://www.saakuru.com/app)""]"
ecoin-wallet,Ecoin Wallet,FALSE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155"", ""BEP-20""]",FALSE,$0,"[""email""]","[""audit by third parties""]","[""EN"", ""ES"", ""ID"", ""JA"", ""PT""]",FALSE,"[""[Website](https://ecoinwallet.org/)""]"
degen-wallet,Degen Wallet,FALSE,"[""iOS"", ""Android""]",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155"", ""BEP-20""]",FALSE,$0,"[""email""]","[""not availale""]","[""EN""]",FALSE,"[""[Website](https://degenforest.com/)""]"
nufi-wallet,Nufi Wallet,FALSE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"[""ERC-20"",""BEP-2"",""BEP-20"",""ERC-721"",""SPL"",""TRC-20"", ""TRC-10"", ""BRC-20""]",FALSE,Paid,"[""email""]","[""audit internally"",  ""third parties""]","[""EN""]",FALSE,"[""[Website](https://nu.fi/)""]"
coin-wallet,Coin Wallet,TRUE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20"",""BEP-20"",""ARC-20"", ""TRC-20""]",TRUE,$0,"[""email""]","[""regular internal security audit""]","[""EN"",""PL"", ""FR"", ""DE"",""IT"",""DA"",""NL"",""RU"", ""TL"", ""ZH"", ""AR"",""HI"",""UR"",""KO"",""ES"",""CS"", ""FI"", ""EL"", ""TR"", ""PT"", ""PT-BR"", ""RO"", ""JA"", ""SR"", ""HU"", ""SV"", ""NO"", ""FA"", ""UK"", ""TH"", ""AF"", ""MS"", ""ID"", ""LV""]",FALSE,"[""[Website](https://coin.space/)""]"
clave-wallet,Clave Wallet,TRUE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155"", ""BEP-20""]",TRUE,$0,"[""email""]","[""audit by third parties""]","[""EN""]",FALSE,"[""[Website](https://www.getclave.com/)""]"
walletverse,Wallet Verse,FALSE,"[""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"[""ERC-20"",""BEP-2"",""BEP-20"",""ERC-721"",""SPL"",""TRC-20"", ""TRC-10"", ""BRC-20""]",TRUE,$0,"[""email"",""telegram"",""discord"",""x"",""youtube""]","[""not availale""]","[""EN""]",FALSE,"[""[Website](https://walletverse.io/)""]"
iron-wallet,Iron Wallet,TRUE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20"",""BEP-2"",""BEP-20"",""ERC-721"",""SPL"",""TRC-20"", ""TRC-10"", ""BRC-20""]",FALSE,$0,"[""email"",""in-app chat"",""discord"",""x""]","[""audit by third parties""]","[""EN""]",FALSE,"[""[Website](https://ironwallet.io/)""]"
kraken-wallet,Kraken Wallet,TRUE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20"",""SPL""]",FALSE,$0 ,"[""email""]","[""not availale""]","[""EN"",""FR"",""ES"",""DE"",""ZH"",""NL"", ""IT"", ""PL"", ""PT""]",FALSE,"[""[Website](https://www.kraken.com/wallet)""]"
backpack,Backpack,FALSE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20"",""SPL"", ""ERC-721""]",TRUE,$0,"[""email"",""discord"",""chatbot""]","[""not availale""]","[""EN""]",FALSE,"[""[Website](https://backpack.exchange/)""]"
solflare,Solflare,FALSE,"[""Browser Extension"",""iOS"",""Android"", ""webapp""]",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"[""SPL""]",TRUE,$0 ,"[""email"",""discord"",""chatbot"",""x""]","[""Third-party audits""]","[""EN"",""RU"",""ZH"",""MALAY"", ""ID""]",FALSE,"[""[Doc](https://docs.solflare.com/solflare)""]"
stackup,Stackup,FALSE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"[""EIP-4337""]",FALSE,$0,"[""email""]","[""not availale""]","[""EN""]",FALSE,"[""[Doc](https://docs.stackup.fi/docs/stackup-essentials-guide)""]"
dapp-pocket,Dapp Pocket,FALSE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20"", ""ERC-721""]",TRUE,$0 ,"[""email""]","[""not availale""]","[""EN""]",FALSE,"[""[Website](https://www.dapppocket.io/)""]"
ronin-wallet,Ronin Wallet,TRUE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"[""RRC-20"", ""RRC-721""]",TRUE,Gas fee,"[""email"",""discord"",""chatbot"",""x""]","[""Third-party audits""]","[""EN""]",FALSE,"[""[Website](https://wallet.roninchain.com/)""]"
pier-wallet,Pier Wallet,FALSE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"[""EIP-4337""]",FALSE,$0,"[""email"",""discord""]","[""not availale""]","[""EN""]",FALSE,"[""[DOC](https://docs.pierwallet.com/)""]"
clear-evm-wallet,Clear EVM Wallet,TRUE,"[""Browser Extension""]",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20"", ""ERC-721"", ""ERC-1155""]",FALSE,$0,"[""discord"",""x""]","[""not availale""]","[""EN""]",FALSE,"[""[DOC](https://clear-wallet.flashsoft.eu/)""]"
