slug,provider,technology,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,actionButtons,supportedChains,txSpeedSla,throughputSla
chainspot,Chainspot,Bridge Aggregator,TRUE,"[""Discord""]",FALSE,"[""Bridge Aggregation""]",,"[""Multi‑bridge routing"",""Cross‑chain explorer""]","[""ETH"",""ERC‑20""]",Depends on selected route,TRUE,Inherits security from underlying bridges,,Aggregator,"[""Web UI""]","[""[Bridge](https://app.chainspot.io/)"",""[Docs](https://docs.chainspot.io/)""]","[""ethereum"",""polygon"",""bnb chain"",""arbitrum one"",""avalanche"",""fantom"",""telos"",""boba"",""optimism"",""harmony"",""moonriver"",""moonbeam"",""okxchain"",""aurora"",""evmos"",""fuse"",""cronos"",""gnosis"",""celo"",""venom testnet"",""base"",""linea"",""polygon zkevm"",""scroll"",""mantle"",""zksync"",""boba beam"",""kava"",""wanchain"",""tron"",""rootstock"",""fraxtal"",""bsquared(b2)"",""zklink"",""bahamut"",""mint"",""bevm"",""bob"",""bitlayer"",""blast"",""mode"",""taiko"",""ton""]",NULL,NULL
cometprotocol,Comet Protocol,Cross‑chain Messaging,FALSE,"[""Discord""]",FALSE,"[""Bridge API""]","[""Blockscout"",""Custom Dashboards"",""Analytics""]","[""Seamless interlink"",""24/7 ops""]","[""ERC‑20"",""BTC""]",Gas Fee,TRUE,Inherits security from base chains,"[""Audit by ConsenSys, 2023""]",Partially Decentralized,"[""TypeScript SDK""]","[""[Bridge](https://cometbridge.app/?original=Optimism&target=Soneium&symbol=ETH)"",""[Docs](https://docs.cometprotocol.com/)""]","[""ethereum"",""eclipse"",""fuel"",""gravity"",""arbitrum"",""optimism"",""base"",""linea"",""ink"",""soneium"",""scroll"",""unichain"",""x layer"",""zksync era""]",NULL,NULL
connext,Connext,Cross‑chain Messaging,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Transfers"",""Liquidity Provision""]",,"[""Low fee intent-layer bridging"",""xERC‑20 tokens""]","[""ETH"",""ERC‑20""]",Gas Fee + small protocol fee,TRUE,Security inherits from canonical settlement networks,,Decentralized,"[""TypeScript SDK"",""Web UI""]","[""[Bridge](https://www.connext.network/)""]","[""ethereum"",""bnb chain"",""gnosis"",""metis"",""arbitrum"",""optimism"",""base"",""linea"",""mode""]",NULL,NULL
crosscurve,CrossCurve,NFT & Token Bridge,TRUE,"[""Discord""]",FALSE,"[""NFT Transfer"",""Asset Transfer""]",,"[""NFT badge bridge"",""EYWA integration""]","[""ERC‑20"",""ERC‑721""]",Gas Fee,TRUE,Modular design with relayer fallback,,Modular,"[""Web UI""]","[""[Bridge](https://app.crosscurve.fi/)"",""[Docs](https://docs.crosscurve.fi)""]","[""ethereum"",""bnb chain"",""gnosis"",""metis"",""arbitrum"",""optimism"",""base"",""linea"",""mode"",""celo"",""cronos"",""fraxtal"",""ink"",""manta"",""polygon"",""taiko"",""xdc"",""avalanche"",""blast"",""corn"",""kava"",""mantle"",""morph"",""sonic"",""tron"",""unichain"",""core"",""fantom"",""hyperliquid"",""tac"",""unit-zero""]",NULL,NULL
debridge,deBridge,Cross‑chain Messaging,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer"",""Rate Guarantee""]",,"[""Deep liquidity"",""Guaranteed rates""]","[""ETH"",""ERC‑20""]",Gas Fee + small protocol fee,TRUE,Economic security via settlement networks,,Decentralized,"[""Web UI"",""SDK""]","[""[Bridge](https://app.debridge.finance/)"",""[Docs](https://docs.debridge.finance/)""]","[""ethereum"",""bnb chain"",""polygon"",""arbitrum"",""avalanche"",""solana"",""linea"",""optimism"",""base"",""tron"",""hyperevm"",""gnosis"",""sonic"",""plasma"",""abstract"",""berachain"",""story"",""neon"",""flow"",""bob"",""mantle"",""sophon"",""sei""]",NULL,NULL
ecoportal,Eco Portal,Stablecoin Router,TRUE,"[""Discord""]",FALSE,"[""Stablecoin Transfer"",""Bridge Routing""]",,"[""Route optimization"",""Low fees""]","[""USDC"",""USDT""]",Gas Fee + minimal service fee,TRUE,Security via route providers,,,"[""Web UI"",""SDK""]","[""[Bridge](https://portal.eco.com/)""]","[""ethereum"",""arbitrum"",""base"",""celo"",""ink"",""optimism"",""plasma"",""polygon"",""sonic"",""unichain""]",NULL,NULL
enosys-bridge,Enosys Bridge,Wrap & Asset Bridge,TRUE,"[""Discord""]",FALSE,"[""ERC‑20 Transfer""]",,"[""Wrap/unwrap across XDC and Flare ecosystems"",""High‑yield bridge integration""]","[""ERC‑20""]",Gas Fee + wrap fee,TRUE,"Fireblocks optional custody, regulated compliance","[""Independent audits""]",Partially Decentralized,"[""TypeScript""]","[""[Bridge](https://bridge.enosys.global)""]","[""ethereum"",""flare"",""xdc""]",NULL,NULL
garden,Garden,BTC‑to‑ETH Swap Bridge,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Swap""]",,"[""BTC → ETH swap in ~10 min""]","[""BTC"",""ETH""]",Swap fee,TRUE,Relayer‑based swap execution,,Decentralized,"[""Web UI""]","[""[Bridge](https://app.garden.finance)"",""[Docs](https://docs.garden.finance/)""]","[""ethereum"",""arbitrum"",""base"",""berachain"",""bitcoin"",""bnb chain"",""botanix"",""core"",""corn"",""hyperevm"",""solana"",""starknet"",""sui"",""unichain""]",NULL,NULL
hashport,Hashport,Cross‑chain Asset Transfer,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",,"[""Secure Hedera-to-EVM bridging""]","[""ETH"",""ERC‑20""]",Gas Fee,TRUE,Multi-signature validators + Hedera consensus,,Partially Decentralized,"[""Web UI""]","[""[Bridge](https://app.hashport.network/)"",""[Docs](https://docs.hashport.network/)""]","[""ethereum"",""arbitrum"",""avalanche"",""cronos"",""bnb chain"",""polygon"",""base"",""fantom"",""optimism"",""moonbeam"",""aurora""]",NULL,NULL
hop,Hop,Layer-2 Token Bridge,TRUE,"[""Discord""]",FALSE,"[""Token Transfer""]",,"[""h-token intermediaries"",""AMM bonds""]","[""ERC-20""]",Gas Fee + liquidity fee,TRUE,Liquidity provider bonds via AMM model,"[""Multiple audits""]",Decentralized,"[""TypeScript""]","[""[Bridge](https://app.hop.exchange/)"",""[Docs](https://docs.hop.exchange/developer-docs/)""]","[""ethereum"",""arbitrum one"",""arbitrum nova"",""polygon pos"",""gnosis"",""polygon zkevm"",""base"",""linea"",""optimism""]",NULL,NULL
hyperlane,Hyperlane,Cross‑chain Messaging,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Messaging"",""Asset Transfer""]",,"[""Modular Interchain Security"",""Warp Routes (Bridging)""]","[""ERC‑20""]",Gas Fee,TRUE,Economic security via modular ISMs and validator staking,,Decentralized,"[""TypeScript CLI""]","[""[Bridge](https://hyperlane.xyz/)"",""[Docs](https://docs.hyperlane.xyz/)""]","[""abstract"",""ancient8"",""apechain"",""aleph zero"",""arbitrum"",""artela"",""arthera"",""avalanche"",""astar"",""astar zkevm"",""aurora"",""base"",""berachain"",""bitlayer"",""blast"",""bob"",""boba"",""bnb chain"",""birdlayer"",""bittensor"",""bnb chain"",""b3"",""camp"",""celo"",""cheesechain"",""chillz"",""citrea"",""coin98"",""conflux"",""coredao"",""corn"",""cyber"",""degen chain"",""dogechain"",""eclipse"",""endurance"",""ethereum"",""ebi"",""everclear"",""evmos"",""fantom"",""form"",""fraxtal"",""flame"",""flare"",""flow"",""forma"",""fuel"",""fuse"",""gnosis"",""gravity"",""hyperevm"",""harmony"",""hemi"",""henez"",""immutable"",""inevm"",""injective"",""ink"",""karak"",""kroma"",""kyros"",""linea"",""lisk"",""lumia"",""layeredge"",""logx"",""lukso"",""manta"",""manta pacific"",""mantle"",""matchain"",""metal"",""metis"",""merlin"",""mint"",""mode"",""miracleplay"",""mitosis"",""molten"",""moonbeam"",""morph"",""neutron"",""noble"",""nero"",""optimism"",""oort"",""orderly"",""osmosis"",""polygon"",""polygon cdk"",""polynomial"",""prom"",""proof of play"",""ronin"",""rari"",""re.al"",""redstone"",""rootstock"",""sei"",""solana"",""sanko"",""soneium"",""sonic"",""sonic svm"",""soon"",""sophon"",""starknet"",""stride"",""scroll"",""shibarium"",""snapchain"",""story"",""superposition"",""swell chain"",""superseed"",""trump chain"",""telos"",""treasure"",""taiko"",""tangle"",""unichain"",""viction"",""vana"",""x layer"",""xai"",""zero network"",""zircuit"",""zetachain"",""zklink"",""zora""]",NULL,NULL
interport,Interport Finance,Meta‑DEX Cross‑chain Swap Bridge,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Swap"",""Single‑chain DEX routing""]",,"[""Meta-Dex aggregation"",""Bridge-free routing""]","[""ERC‑20"",""Stablecoins""]",Swap fees,TRUE,Aggregates cross-chain messaging,"[""Audits available""]",Decentralized,"[""TypeScript""]","[""[Bridge](https://app.interport.fi)"",""[Docs](https://docs.interport.fi)""]","[""ethereum"",""solana"",""arbitrum"",""bnb chain"",""blast"",""zksync"",""base"",""scroll"",""optimism"",""linea"",""manta pacific"",""polygon"",""opbnb"",""avalanche"",""eon"",""fantom"",""sui"",""aptos"",""kava"",""metis"",""mantle"",""sei"",""aurora"",""corel"",""berachain"",""inkl"",""kaia"",""iota"",""taiko"",""rari"",""flare"",""gravity"",""lightlink"",""plume"",""abstract"",""flow"",""gnosis"",""astar"",""celo"",""sonic"",""soneium"",""mind"",""hemi"",""rootstock"",""hyperevm"",""world chain"",""codex"",""unichain"",""botanix"",""tac"",""bitlayer"",""hedera"",""mode"",""ronin"",""shibarium"",""wemix"",""zircuit"",""b²"",""bob"",""xdc"",""plasma"",""og"",""corn"",""katana"",""hashkey""]",NULL,NULL
jumper,Jumper.Exchange,Cross‑chain Swaps,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer"",""Swap""]",,"[""Simple swap + bridge""]","[""ETH"",""ERC‑20""]",Gas Fee + swap fee,TRUE,Security via smart contracts,,Decentralized,"[""Web UI"",""API""]","[""[Bridge](https://jumper.exchange/)"",""[Docs](https://jumper.exchange/learn)""]","[""ethereum"",""arbitrum"",""solana"",""polygon"",""gnosis"",""blast"",""base"",""linea"",""optimism"",""avalanche"",""scroll"",""zksync"",""polygon zkevm"",""fantom"",""moonriver"",""moonbeam"",""fuse"",""boba"",""mode"",""metis"",""lisk"",""unichain"",""aurora"",""sei"",""hyperliquid"",""immutable zkevm"",""flare"",""sonic"",""vana"",""gravity"",""taiko"",""soneium"",""swellchain"",""bitcoin"",""ronin"",""opbnb"",""corn"",""lens"",""cronos"",""fraxtal"",""abstract"",""rootstock"",""apechain"",""celo"",""etherlink"",""world chain"",""xdc"",""mantle"",""sophon"",""superposition"",""ink"",""bob"",""katana"",""berachain"",""kaia"",""sui"",""plasma"",""plume"",""hyperevm""]",NULL,NULL
layerswap,Layerswap,Cross‑chain Swaps,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",,"[""Exchange <> L2 bridging""]","[""ETH"",""ERC‑20""]",Gas Fee + small service fee,TRUE,Bridging secured through centralized custody & partners,,Partially Decentralized,"[""Web UI""]","[""[Bridge](https://layerswap.io/app)"",""[Docs](https://docs.layerswap.io)""]","[""abstract"",""ancient8"",""arbitrum one"",""arbitrum nova"",""avalanche"",""base"",""berachain"",""bitcoin"",""blast"",""bob"",""bnb chain"",""celo"",""eclipse"",""ethereum"",""fuel ignition"",""fuse"",""gnosis"",""gravity"",""hyperevm"",""hashkey chain"",""immutablex"",""immutable zkevm"",""ink"",""kaia"",""katana"",""linea"",""lisk"",""lightlink"",""loopring"",""manta pacific"",""mantle"",""matchain"",""mint"",""mode"",""morph"",""nahmii"",""optimism"",""opbnb"",""polygon"",""polygon zkevm"",""plasma"",""paradex"",""ronin"",""rari"",""redstone"",""sei"",""solana"",""shape"",""soneium"",""sonic"",""soon"",""sophon"",""starknet"",""scroll"",""superposition"",""superseed"",""taiko"",""ton"",""unichain"",""world chain"",""xai"",""x layer"",""xai"",""zero"",""zircuit"",""zetachain"",""zksync lite"",""zksync era"",""zora""]",NULL,NULL
layerzero,LayerZero Labs,Omnichain Messaging & OFT,TRUE,"[""Discord"",""Email""]",FALSE,"[""REST API"",""GraphQL""]","[""Blockscout"",""Custom Dashboards""]","[""Omnichain Fungible Token"",""Unified Liquidity Pools"",""Cross‑chain Governance""]","[""ETH"",""ERC‑20 OFT""]",Gas Fee,TRUE,Configurable DVN consensus across chains,"[""Ackee Blockchain Protocol Audit (Mar 2022)"",""ChainSecurity OFT/OApp Audit"",""Zellic Core Audit""]",Decentralized,"[""TypeScript""]","[""[Bridge](https://layerzero.bridge.harmony.one/one)"",""[Docs](https://docs.layerzero.network/v2)""]","[""ethereum"",""bnb chain"",""base"",""linea"",""arbitrum"",""harmony""]",NULL,NULL
mayan,Mayan Finance,Intent-based Cross-chain Swap Bridge,TRUE,"[""Discord""]",FALSE,"[""Cross-chain Swap""]",,"[""Built on Wormhole Token Bridge"",""One-click auction swaps""]","[""ERC-20"",""Stablecoins""]",Wormhole gas + swap fee (~0.1%),TRUE,Wormhole primitives + swap auction logic,,Decentralized,"[""TypeScript""]","[""[Bridge](https://swap.mayan.finance/)"",""[Docs](https://docs.mayan.finance)""]","[""ethereum"",""bnb chain"",""base"",""linea"",""arbitrum"",""optimism"",""sui"",""unichain"",""hyperevm"",""solana"",""polygon"",""avalanche""]",NULL,NULL
meson,Meson,Stablecoin Bridge,TRUE,"[""Discord""]",FALSE,"[""Stablecoin Swaps""]",,"[""USDT/USDC optimization"",""Fast settlement""]","[""USDT"",""USDC""]",Low Fee,TRUE,Secured via cryptographic proofs and liquidity partners,"[""Trail of Bits""]",Decentralized,"[""Web UI""]","[""[Bridge](https://meson.fi/)"",""[Docs](https://meson.fi/docs)""]","[""ancient8"",""arbitrum"",""avalanche"",""base"",""berachain"",""bitlayer"",""blast"",""bob"",""bnb chain"",""b² network"",""celo"",""cronos"",""ethereum"",""gnosis"",""hashkey chain"",""hemi"",""kava"",""linea"",""manta"",""mantle"",""merlin"",""metis"",""mode"",""moonbeam"",""morph"",""opbnb"",""optimism"",""plume"",""polygon"",""polygon zkevm"",""scroll"",""sei"",""skale europa"",""skale nebula"",""skale calypso"",""solana"",""soneium"",""starknet"",""taiko"",""tron"",""zetachain"",""zircuit"",""zksync era"",""meme core"",""exsat"",""zklink nova"",""x layer"",""conflux espace"",""sonic"",""aurora"",""kroma"",""aptos"",""sui"",""zkfair"",""map protocol"",""core"",""inevm"",""bouncebit"",""bevm"",""ailayer"",""iotex"",""ckb"",""duckchain"",""neo x"",""corn"",""taker"",""thundercore"",""rootstock"",""hyperevm"",""plasma""]",NULL,NULL
messina,MessinaOne Bridge,Cross‑chain Bridge via Wormhole,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",,"[""Wormhole integration"",""Liquidity pools""]","[""ETH"",""ERC‑20""]",Gas Fee,TRUE,Audited by Certik & Kudelski,"[""Certik"",""Kudelski Security""]",Partially Decentralized,"[""Web UI""]","[""[Bridge](https://messina.one/bridge)"",""[Docs](https://messinaone.gitbook.io/messina/)""]","[""ethereum"",""bnb chain"",""base"",""algorand"",""arbitrum"",""optimism"",""aptos"",""polygon"",""avalanche""]",NULL,NULL
okutrade,Oku Trade,Bridge & Swap Meta‑Aggregator,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Swap"",""Bridge Aggregation""]",,"[""DeFi aggregator across 18 EVM chains"",""Uniswap v3 trading frontend""]","[""ERC‑20"",""Stablecoins""]",Gas Fee + bridge/DEX fees,TRUE,"Aggregates best bridge/swap rates, non‑custodial routing","[""Uniswap Foundation funded, no exploit""]",Decentralized,"[""TypeScript""]","[""[Bridge](https://oku.trade)"",""[Docs](https://docs.oku.trade/home/)""]","[""ethereum"",""bnb chain"",""base"",""zksync era"",""arbitrum"",""optimism"",""taiko"",""polygon"",""avalanche"",""sei"",""scroll"",""rootstock"",""filecoin"",""boba"",""telos"",""lightlink"",""saga evm"",""hemi"",""xdc"",""unichain"",""sonic"",""redbelly"",""lens"",""world chain"",""matchain"",""goat"",""mantle"",""nibiru"",""plasma"",""celo"",""etherlink"",""linea"",""bob"",""corn"",""gnosis""]",NULL,NULL
orbiter,Orbiter Finance,Cross‑chain Messaging,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",,"[""Low cost"",""Instant confirmation""]","[""ETH"",""ERC‑20""]",Gas Fee,TRUE,Peer-to-peer intents & liquidity providers,,Decentralized,"[""Web UI""]","[""[Bridge](https://orbiter.finance)"",""[Docs](https://docs.orbiter.finance)""]","[""arbitrum"",""bnb chain"",""base"",""blast"",""ethereum"",""ink"",""linea"",""lisk"",""mode"",""optimism"",""polygon"",""redstone"",""scroll"",""solana"",""soneium"",""unichain"",""world chain"",""zora"",""zksyncera"",""eni"",""x layer"",""sui"",""celo"",""juchain"",""bob"",""story"",""manta"",""arbitrum nova"",""ape chain"",""zetachain"",""hemi"",""mint"",""hashkey"",""superseed"",""gravity"",""zero"",""rootstock"",""corn"",""superposition"",""zk fair"",""morph"",""nero"",""conflux"",""hpp"",""hyperliquid"",""paradex"",""merlin"",""katana"",""berachain"",""immutable x"",""plume"",""sophon"",""opbnb"",""kaia"",""tron"",""fuel"",""sonic"",""cyber"",""bitlayer"",""zircuit"",""starknet"",""fraxtal"",""avalanche"",""eclipse"",""core"",""ton"",""bevm"",""zklink nova"",""b² network"",""mantle"",""zksync lite"",""ronin"",""sonic svm"",""polygon zkevm"",""abstract"",""movement"",""sui"",""taiko""]",NULL,NULL
owlto,Owlto Finance,Cross‑rollup Bridge,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",,"[""Fast confirmation"",""Low fees""]","[""ETH"",""USDC"",""USDT""]",Gas Fee + protocol fee,TRUE,Relayer-based verification with ZK/optimistic fallback,,Partially Decentralized,"[""Web UI""]","[""[Bridge](https://owlto.finance)"",""[Docs](https://docs.owlto.finance)""]","[""eclipse"",""soneium"",""katana"",""unichain"",""ink"",""abstract"",""base"",""arbitrum"",""ethereum"",""linea"",""optimism"",""alienx"",""arbitrum nova"",""avalanche"",""berachain"",""blast"",""bnb chain"",""bob"",""core"",""cyber"",""duckchain"",""gnosis"",""gravity"",""hashkey"",""hemi"",""lens"",""lisk"",""manta"",""mantle"",""matchain"",""metis"",""mint"",""mode"",""morph"",""opbnb"",""over"",""polygon"",""polygon zkevm"",""rari"",""redstone"",""scroll"",""shape"",""solana"",""sonic"",""story"",""swan"",""taiko"",""u2u solaris"",""worldchain"",""x layer"",""zeta"",""zksync era"",""zero"",""zircuit"",""zora""]",NULL,NULL
pheasant,Pheasant Network,Intent-based Cross‑chain Bridge,TRUE,"[""Discord""]",FALSE,"[""Token Transfer via intents""]",,"[""Optimistic rollup architecture"",""Bridge-as-a-Service (BaaS)""]","[""ERC‑20"",""Stablecoins""]",Gas Fee + relayer fee,TRUE,Optimistic security with UMA-style dispute challenge,,Decentralized,"[""TypeScript""]","[""[Bridge](https://pheasant.network)"",""[Docs](https://docs.pheasant.network/)""]","[""arbitrum"",""ethereum"",""morph"",""optimism"",""base"",""scroll"",""unichain"",""linea"",""taiko"",""zksync era""]",NULL,NULL
